,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
0,800,Unfurnished,5000,1,Apartment, Hyderabad,Medchal,1,NorthEast facing
1,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
2,1300,Semi-Furnished,10500,2,Independent House, Hyderabad,Saroornagar,2,
3,1710,Furnished,70000,3,Apartment, Hyderabad,Kondapur,3,
4,1000,Semi-Furnished,7000,2,Apartment, Hyderabad,Pragathi Nagar,2,
5,830,Unfurnished,9960,2,Independent Floor, Hyderabad,Mehdipatnam,2,South facing
6,800,Semi-Furnished,25000,2,Independent House, Hyderabad,Madhapur,2,NorthEast facing
7,3300,Unfurnished,70000,8,Apartment, Hyderabad,Nanakramguda,4,
8,1090,Semi-Furnished,12500,3,Apartment, Hyderabad,Chinthal,2,
9,1300,Unfurnished,15500,3,Independent House, Hyderabad,Qutub Shahi Tombs,2,
10,800,Furnished,10000,2,Apartment, Hyderabad,Nacharam,1,
11,1492,Semi-Furnished,55000,3,Apartment, Hyderabad,Gachibowli,2,
12,1200,Unfurnished,200000,2,Apartment, Hyderabad,muthangi,2,
13,1230,Semi-Furnished,20000,2,Apartment, Hyderabad,Attapur,2,
14,2060,Semi-Furnished,30000,6,Apartment, Hyderabad,Maheshwaram,3,East facing
15,2700,Furnished,35000,3,Independent Floor, Hyderabad,Nagole,3,
16,2160,Semi-Furnished,48000,3,Apartment, Hyderabad,Gachibowli,3,
17,1080,Furnished,19000,1,Studio Apartment, Hyderabad,Madhapur,1,
18,850,Furnished,20000,2,Apartment, Hyderabad,Malkajgiri,2,East facing
19,500,Furnished,15000,1,Studio Apartment, Hyderabad,Kukatpally,1,
20,1400,Unfurnished,10000,2,Independent Floor, Hyderabad,Jillelguda,2,
21,1440,Unfurnished,7100,1,Independent House, Hyderabad,Bandlaguda Jagir,1,West facing
22,1400,Unfurnished,13500,2,Independent House, Hyderabad,Kothapet,2,
23,1500,Semi-Furnished,40000,3,Apartment, Hyderabad,Kondapur,3,East facing
24,1200,Semi-Furnished,13500,2,Apartment, Hyderabad,Kothapet,2,
25,1550,Unfurnished,10000,2,Independent Floor, Hyderabad,Srinilaya Township,,
26,1200,Unfurnished,13000,2,Apartment, Hyderabad,Jeedimetla,2,
27,1355,Furnished,24000,2,Apartment, Hyderabad,Manikonda,2,
28,2880,Furnished,50000,3,Independent Floor, Hyderabad,Nampally,4,
29,1130,Semi-Furnished,20000,2,Apartment, Hyderabad,Chintalmet,2,East facing
30,2509,Unfurnished,37635,3,Villa, Hyderabad,Nagole,3,West facing
31,1022,Unfurnished,9000,2,Independent Floor, Hyderabad,Vanasthalipuram,2,
32,500,Unfurnished,8000,1,Studio Apartment, Hyderabad,Mansoorabad,1,
33,1400,Furnished,32000,3,Apartment, Hyderabad,Basheer Bagh,,
34,300,Furnished,23000,1,Apartment, Hyderabad,Gopanapalli,1,
35,1800,Unfurnished,15000,4,Apartment, Hyderabad,Upparpally,2,
36,1000,Semi-Furnished,17000,2,Independent House, Hyderabad,Attapur,2,
37,1900,Furnished,25000,2,Independent House, Hyderabad,Erragadda,2,
38,3400,Semi-Furnished,50000,8,Villa, Hyderabad,Kismatpur,5,
39,1300,Furnished,25000,2,Apartment, Hyderabad,Shalibanda,2,
40,1360,Semi-Furnished,18000,3,Apartment, Hyderabad,Krishna Reddy Pet,2,East facing
41,3200,Furnished,40000,4,Villa, Hyderabad,Shamshabad,2,West facing
42,891,Unfurnished,9500,3,Apartment, Hyderabad,Toli Chowki,2,
43,1100,Semi-Furnished,13500,2,Apartment, Hyderabad,Moosapet,2,
44,450,Unfurnished,8000,1,Apartment, Hyderabad,Banjara Hills,1,East facing
45,850,Semi-Furnished,7500,2,Independent House, Hyderabad,Trimalgherry,2,
46,1620,Semi-Furnished,27000,3,Apartment, Hyderabad,Gajulramaram Kukatpally,3,
47,1300,Semi-Furnished,18000,3,Apartment, Hyderabad,Ramachandra Puram,3,
48,1600,Furnished,27000,3,Villa, Hyderabad,Uppal Kalan,3,
49,1900,Semi-Furnished,21000,3,Apartment, Hyderabad,Qutub Shahi Tombs,3,
50,400,Semi-Furnished,5000,1,Apartment, Hyderabad,Serilingampally,1,East facing
51,1200,Semi-Furnished,20000,2,Independent Floor, Hyderabad,Moghalpura,2,
52,1500,Semi-Furnished,12500,3,Apartment, Hyderabad,Somajiguda,,
53,1503,Semi-Furnished,14500,2,Apartment, Hyderabad,East Bahadurpura,2,
54,2000,Semi-Furnished,35000,4,Independent House, Hyderabad,Gachibowli,3,
55,7000,Furnished,55000,5,Independent House, Hyderabad,Dilsukh Nagar,5,
56,2200,Semi-Furnished,30000,3,Independent Floor, Hyderabad,Madhapur,2,East facing
57,1200,Unfurnished,12000,2,Independent House, Hyderabad,Shaikpet,1,NorthEast facing
58,1100,Unfurnished,10000,2,Independent Floor, Hyderabad,Boduppal,2,East facing
59,2500,Semi-Furnished,40000,4,Apartment, Hyderabad,Rajapur,3,
60,950,Semi-Furnished,13000,2,Apartment, Hyderabad,Kukatpally,2,
61,4000,Semi-Furnished,80000,5,Villa, Hyderabad,Nallagandla Gachibowli,5,West facing
62,1250,Semi-Furnished,21000,2,Apartment, Hyderabad,Kukatpally,2,
63,3105,Furnished,80000,3,Apartment, Hyderabad,Nanakramguda,3,
64,1050,Unfurnished,12500,2,Independent House, Hyderabad,Bapu Nagar,1,
65,1250,Semi-Furnished,16000,2,Apartment, Hyderabad,Manikonda,2,NorthEast facing
66,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,4,
67,1300,Semi-Furnished,12000,2,Independent House, Hyderabad,Boduppal,2,NorthEast facing
68,1700,Furnished,18000,2,Independent Floor, Hyderabad,Upparpally,2,West facing
69,950,Unfurnished,8500,2,Independent House, Hyderabad,Ramachandra Puram,2,NorthEast facing
70,1240,Semi-Furnished,22000,2,Independent Floor, Hyderabad,Kondapur,2,
71,1800,Unfurnished,10000,2,Independent House, Hyderabad,Boduppal,2,
72,1800,Furnished,20000,3,Apartment, Hyderabad,Uppal,3,
73,700,Unfurnished,8000,1,Independent Floor, Hyderabad,Attapur,1,
74,1870,Semi-Furnished,35000,3,Apartment, Hyderabad,Kokapet,3,NorthEast facing
75,1700,Semi-Furnished,40000,3,Independent House, Hyderabad,Kothapet,4,
76,600,Semi-Furnished,9500,1,Apartment, Hyderabad,Alwal,1,
77,2000,Semi-Furnished,18000,3,Independent House, Hyderabad,Bolarum,2,SouthEast facing
78,7000,Furnished,200000,5,Villa, Hyderabad,Moinabad,5,East facing
79,1550,Semi-Furnished,19500,3,Independent Floor, Hyderabad,Puppalaguda,3,
80,1850,Semi-Furnished,30000,4,Independent Floor, Hyderabad,Kapra,3,
81,9900,Semi-Furnished,150000,7,Independent Floor, Hyderabad,Miyapur,2,South facing
82,1570,Semi-Furnished,16000,3,Apartment, Hyderabad,Pragathi Nagar Kukatpally,2,
83,1000,Semi-Furnished,10000,2,Apartment, Hyderabad,Chintalmet,2,
84,1500,Semi-Furnished,20000,3,Apartment, Hyderabad,Somajiguda,2,
85,1200,Unfurnished,18000,2,Independent Floor, Hyderabad,Malakpet,2,
86,1550,Semi-Furnished,16000,2,Independent Floor, Hyderabad,Trimalgherry,2,NorthWest facing
87,4200,Semi-Furnished,70000,4,Villa, Hyderabad,Kompally,4,
88,1000,Semi-Furnished,10000,1,Independent Floor, Hyderabad,Kothapet,1,
89,4500,Semi-Furnished,85000,4,Villa, Hyderabad,Kokapet,4,East facing
90,2200,Unfurnished,22000,3,Independent Floor, Hyderabad,Habsiguda,2,
91,900,Furnished,60000,1,Studio Apartment, Hyderabad,Mahendra Hills,1,
92,2000,Semi-Furnished,62000,3,Apartment, Hyderabad,Kukatpally,3,
93,2400,Unfurnished,52500,3,Apartment, Hyderabad,Gandipet,3,West facing
94,500,Semi-Furnished,15000,1,Apartment, Hyderabad,Masab Tank,1,
95,6000,Semi-Furnished,80000,1,Independent House, Hyderabad,East Marredpally,9,SouthEast facing
96,950,Unfurnished,11000,2,Independent Floor, Hyderabad,Mehdipatnam,2,West facing
97,1100,Semi-Furnished,15000,2,Apartment, Hyderabad,Tarnaka,2,
98,2500,Semi-Furnished,60000,3,Apartment, Hyderabad,Jubilee Hills,3,
99,2700,Semi-Furnished,45000,4,Apartment, Hyderabad,Habsiguda,4,East facing
100,1500,Unfurnished,17000,3,Independent Floor, Hyderabad,Karwan,3,
101,800,Unfurnished,6000,1,Independent House, Hyderabad,Medchal,1,
102,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,East facing
103,450,Unfurnished,8000,1,Apartment, Hyderabad,Banjara Hills,1,East facing
104,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,East facing
105,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,East facing
106,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,East facing
107,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,East facing
108,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,East facing
109,1100,Unfurnished,11000,2,Independent Floor, Hyderabad,Banjara Hills,1,
110,450,Unfurnished,8000,1,Apartment, Hyderabad,Banjara Hills,1,East facing
